Country Name,Year,Bribery incidence (% of firms experiencing at least one bribe payment request) [IC.FRM.BRIB.ZS],"CPIA transparency, accountability, and corruption in the public sector rating (1=low to 6=high) [IQ.CPA.TRAN.XQ]","Intentional homicides (per 100,000 people) [VC.IHR.PSRC.P5]",CPIA property rights and rule-based governance rating (1=low to 6=high) [IQ.CPA.PROP.XQ],Strength of legal rights index (0=weak to 12=strong) [IC.LGL.CRED.XQ],Human capital index (HCI) (scale 0-1) [HD.HCI.OVRL],Gini index [SI.POV.GINI],Adjusted net national income per capita (annual % growth) [NY.ADJ.NNTY.PC.KD.ZG],"Unemployment, total (% of total labor force) (national estimate) [SL.UEM.TOTL.NE.ZS]","Unemployment, youth total (% of total labor force ages 15-24) (national estimate) [SL.UEM.1524.NE.ZS]",Consumer price index (2010 = 100) [FP.CPI.TOTL],"Inflation, consumer prices (annual %) [FP.CPI.TOTL.ZG]",New businesses registered (number) [IC.BUS.NREG],GDP growth (annual %) [NY.GDP.MKTP.KD.ZG],GDP per capita (current US$) [NY.GDP.PCAP.CD],GDP per capita growth (annual %) [NY.GDP.PCAP.KD.ZG],"GDP per capita, PPP (current international $) [NY.GDP.PCAP.PP.CD]",CO2 emissions (kg per PPP $ of GDP) [EN.ATM.CO2E.PP.GD],CO2 emissions (metric tons per capita) [EN.ATM.CO2E.PC],Total greenhouse gas emissions (kt of CO2 equivalent) [EN.ATM.GHGT.KT.CE],Military expenditure (% of GDP) [MS.MIL.XPND.GD.ZS],Military expenditure (% of general government expenditure) [MS.MIL.XPND.ZS],"Government expenditure on education, total (% of government expenditure) [SE.XPD.TOTL.GB.ZS]","Government expenditure on education, total (% of GDP) [SE.XPD.TOTL.GD.ZS]","Compulsory education, duration (years) [SE.COM.DURS]",Lending interest rate (%) [FR.INR.LEND],Trade (% of GDP) [NE.TRD.GNFS.ZS],Net migration [SM.POP.NETM],International migrant stock (% of population) [SM.POP.TOTL.ZS],"International migrant stock, total [SM.POP.TOTL]","Personal remittances, paid (current US$) [BM.TRF.PWKR.CD.DT]","Personal remittances, received (current US$) [BX.TRF.PWKR.CD.DT]","Personal remittances, received (% of GDP) [BX.TRF.PWKR.DT.GD.ZS]",Population density (people per sq. km of land area) [EN.POP.DNST],Population growth (annual %) [SP.POP.GROW],"Population, total [SP.POP.TOTL]",Poverty headcount ratio at national poverty lines (% of population) [SI.POV.NAHC],"Secondary education, duration (years) [SE.SEC.DURS]","Primary education, duration (years) [SE.PRM.DURS]","Internally displaced persons, new displacement associated with conflict and violence (number of cases) [VC.IDP.NWCV]","Internally displaced persons, total displaced by conflict and violence (number of people) [VC.IDP.TOCV]","Internally displaced persons, new displacement associated with disasters (number of cases) [VC.IDP.NWDS]","Life expectancy at birth, total (years) [SP.DYN.LE00.IN]",Lifetime risk of maternal death (%) [SH.MMR.RISK.ZS],"Maternal mortality ratio (national estimate, per 100,000 live births) [SH.STA.MMRT.NE]","Mortality rate attributed to unsafe water, unsafe sanitation and lack of hygiene (per 100,000 population) [SH.STA.WASH.P5]"
Afghanistan,1995,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,0.06846795551,11970.00027,..,..,..,..,..,..,..,..,0.426423647,71522,..,..,..,27.76729375,5.884278564,18110662,..,6,6,..,..,..,53.398,..,..,..
Afghanistan,1996,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,0.06258803431,13000,..,..,..,..,..,..,..,..,..,..,..,..,..,28.90612821,4.019477716,18853444,..,6,6,..,..,..,53.924,..,..,..
Afghanistan,1997,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,0.05682661775,13970.00027,..,..,..,..,..,..,..,-867540,..,..,..,..,..,29.67837419,2.636501764,19357126,..,6,6,..,..,..,54.424,..,..,..
Afghanistan,1998,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,0.05269085616,14789.99996,..,..,..,..,6,..,..,..,..,..,..,..,..,30.26197814,1.947343862,19737770,..,6,6,..,..,..,54.906,..,..,..
Afghanistan,1999,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,0.04015696515,15670.00008,..,..,..,..,6,..,..,..,..,..,..,..,..,30.92597243,2.170428511,20170847,..,6,6,..,..,..,55.376,..,..,..
Afghanistan,2000,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,0.03657370417,13890.00034,..,..,..,..,6,..,..,..,0.3853275363,75917,..,..,..,31.85986079,2.975057223,20779957,..,6,6,..,..,..,55.841,11.21563799,..,..
Afghanistan,2001,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,0.03378535985,12250,..,..,..,..,6,..,..,..,..,..,..,..,..,33.12787207,3.902804964,21606992,..,6,6,..,..,..,56.308,10.60496814,..,..
Afghanistan,2002,..,..,..,..,..,..,..,..,..,..,..,..,..,..,179.4265792,..,876.3276427,0.05200527401,0.04557365918,14890.00034,..,..,..,..,6,..,..,744193,..,..,..,..,..,34.6515401,4.496718747,22600774,..,6,6,..,..,..,56.784,9.73650912,..,..
Afghanistan,2003,..,..,..,..,..,..,..,..,..,..,..,..,..,8.832277813,190.6838143,3.868380295,928.1915689,0.05550403414,0.05151837652,15529.99973,..,..,..,..,6,..,..,..,..,..,..,..,..,36.30754642,4.668343795,23680871,..,6,6,..,..,..,57.271,8.97836614,..,..
Afghanistan,2004,..,..,..,..,..,..,..,..,..,..,63.52339481,..,..,1.414117981,211.3820742,-2.875203167,925.7042261,0.04499859974,0.04165539395,15310.00042,2.431257869,16.134336,..,..,6,..,..,..,..,..,..,..,..,37.91099612,4.321559517,24726689,..,6,6,..,..,..,57.772,8.315494435,..,..
Afghanistan,2005,..,..,..,..,..,..,..,..,..,..,71.58214338,12.68626872,..,11.22971482,242.0313132,7.207967218,1023.549501,0.05902868455,0.0604187806,16229.99954,1.992065699,12.68975795,15.07999992,2.569999933,6,..,..,..,0.3577876477,87300,..,0,0,39.33317081,3.682699881,25654274,..,6,6,..,..,..,58.29,7.810410805,..,..
