Time,Time Code,Country Name,Country Code,Adjusted net national income per capita (annual % growth) [NY.ADJ.NNTY.PC.KD.ZG],Bribery incidence (% of firms experiencing at least one bribe payment request) [IC.FRM.BRIB.ZS],CO2 emissions (kg per PPP $ of GDP) [EN.ATM.CO2E.PP.GD],CO2 emissions (metric tons per capita) [EN.ATM.CO2E.PC],"Droughts, floods, extreme temperatures (% of population, average 1990-2009) [EN.CLC.MDAT.ZS]",CPIA property rights and rule-based governance rating (1=low to 6=high) [IQ.CPA.PROP.XQ],"CPIA transparency, accountability, and corruption in the public sector rating (1=low to 6=high) [IQ.CPA.TRAN.XQ]","Compulsory education, duration (years) [SE.COM.DURS]",Consumer price index (2010 = 100) [FP.CPI.TOTL],GDP growth (annual %) [NY.GDP.MKTP.KD.ZG],GDP (current US$) [NY.GDP.MKTP.CD],GDP per capita growth (annual %) [NY.GDP.PCAP.KD.ZG],"GDP per capita, PPP (current international $) [NY.GDP.PCAP.PP.CD]",Gini index [SI.POV.GINI],Human capital index (HCI) (scale 0-1) [HD.HCI.OVRL],"Government expenditure on education, total (% of GDP) [SE.XPD.TOTL.GD.ZS]","Government expenditure on education, total (% of government expenditure) [SE.XPD.TOTL.GB.ZS]","Inflation, consumer prices (annual %) [FP.CPI.TOTL.ZG]","Intentional homicides (per 100,000 people) [VC.IHR.PSRC.P5]","Internally displaced persons, new displacement associated with conflict and violence (number of cases) [VC.IDP.NWCV]","Internally displaced persons, total displaced by conflict and violence (number of people) [VC.IDP.TOCV]","Internally displaced persons, new displacement associated with disasters (number of cases) [VC.IDP.NWDS]","International migrant stock, total [SM.POP.TOTL]",International migrant stock (% of population) [SM.POP.TOTL.ZS],Net migration [SM.POP.NETM],Lending interest rate (%) [FR.INR.LEND],"Life expectancy at birth, total (years) [SP.DYN.LE00.IN]",Lifetime risk of maternal death (%) [SH.MMR.RISK.ZS],"Maternal mortality ratio (national estimate, per 100,000 live births) [SH.STA.MMRT.NE]",Military expenditure (% of GDP) [MS.MIL.XPND.GD.ZS],Military expenditure (% of general government expenditure) [MS.MIL.XPND.ZS],"Mortality rate attributed to unsafe water, unsafe sanitation and lack of hygiene (per 100,000 population) [SH.STA.WASH.P5]",New businesses registered (number) [IC.BUS.NREG],"Personal remittances, paid (current US$) [BM.TRF.PWKR.CD.DT]","Personal remittances, received (% of GDP) [BX.TRF.PWKR.DT.GD.ZS]","Personal remittances, received (current US$) [BX.TRF.PWKR.CD.DT]",Population density (people per sq. km of land area) [EN.POP.DNST],Population growth (annual %) [SP.POP.GROW],"Population, total [SP.POP.TOTL]",Poverty headcount ratio at national poverty lines (% of population) [SI.POV.NAHC],"Primary education, duration (years) [SE.PRM.DURS]","Secondary education, duration (years) [SE.SEC.DURS]",Strength of legal rights index (0=weak to 12=strong) [IC.LGL.CRED.XQ],Total greenhouse gas emissions (kt of CO2 equivalent) [EN.ATM.GHGT.KT.CE],Trade (% of GDP) [NE.TRD.GNFS.ZS],"Unemployment, total (% of total labor force) (national estimate) [SL.UEM.TOTL.NE.ZS]","Unemployment, youth total (% of total labor force ages 15-24) (national estimate) [SL.UEM.1524.NE.ZS]"
1990,YR1990,Afghanistan,AFG,..,..,..,0.191745114991076,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,57686,0.478024987632141,..,..,50.331,..,..,..,..,..,..,..,..,..,19.0305735706729,4.47695437953718,12412311,..,6,6,..,11970,..,..,..
1990,YR1990,Albania,ALB,..,..,0.713627192582441,1.81954163372931,..,..,..,..,..,-9.57564016993415,2028553750,-11.187905298961,2549.70894136592,..,..,..,..,..,..,..,..,..,66013,2.01170030471258,..,1,71.836,..,..,5.8883007196812,..,..,..,..,..,..,119.946788321168,1.79908559333186,3286542,..,4,8,..,11100,39.4369634031142,9.5,..
1990,YR1990,Algeria,DZA,-1.98792132563248,..,0.353665052202327,2.44342997628157,..,..,..,..,15.51936355384,0.800000580172068,62048562947.2509,-1.75407649193988,6908.88161288755,..,..,..,..,16.6525343885433,..,..,..,..,273954,1.05723275576092,..,..,66.938,..,..,1.46107058594342,5.68261540620177,..,..,31481969.0371486,0.567297586407028,352000000,10.8151485888468,2.56646025164596,25758872,..,6,6,..,120740,48.3807136815584,21.2600002288818,..
1990,YR1990,American Samoa,ASM,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,21283,45.2406257971261,..,..,..,..,..,..,..,..,..,..,..,..,236.755,3.1253549165475,47351,..,8,4,..,..,..,5.1100001335144,11.960000038147
1990,YR1990,Andorra,AND,..,..,..,7.52183165773831,..,..,..,..,..,3.78138758571333,1029048481.88051,-0.133166844392832,..,..,..,..,..,..,..,..,..,..,38904,71.3690814697951,..,..,..,..,..,..,..,..,..,..,..,..,115.974468085106,3.84490142183965,54508,..,5,7,..,430,..,..,..
1990,YR1990,Angola,AGO,..,..,0.169661424591665,0.553661954772739,..,..,..,..,2.22008150730772E-08,-3.45009868500253,11228764963.2353,-6.65746725949467,3263.33435019347,..,..,..,..,..,..,..,..,..,33517,0.301198701997777,..,..,45.306,..,..,17.4636666666667,..,..,..,150000000,..,..,9.50379802679073,3.37841120403155,11848385,..,4,7,..,43150,..,..,..
1990,YR1990,Antigua and Barbuda,ATG,..,..,0.289967103902928,3.35822685621992,..,..,..,..,..,3.01171468357902,459470370.37037,2.14522559903865,11581.4063423696,..,..,..,..,..,1.59915564581901,..,..,..,12029,19.4310729170032,..,10.64000032213,71.52,..,..,..,..,..,..,6311111.11111111,2.72777845716082,12533333.78,142.120454545455,0.844713550159391,62533,..,7,5,..,350,..,..,..
1990,YR1990,Argentina,ARG,-1.02491874475771,..,0.427885318755653,3.07554132838369,..,..,..,..,..,-2.46721377810472,141352368714.691,-3.87408535592273,7187.77016544473,..,..,1.06737995147705,..,..,..,..,..,..,1649919,5.04103912832794,..,..,71.594,..,49,1.45090921225786,..,..,..,94080001.83,0.0161582012085703,22840000.15,11.9190145760024,1.45296474870991,32618648,..,7,5,..,247300,14.9908589999441,7.05999994277954,..
1990,YR1990,Armenia,ARM,..,..,2.02471260541858,5.61025435790992,..,..,..,..,..,..,2256838857.60997,..,2770.88923282032,..,..,..,..,..,5.03085781213081,..,..,..,658789,18.5852097289047,..,..,67.879,..,43,..,..,..,..,..,..,..,..,0.0478045737810531,3538164,..,3,7,..,24410,81.3357185450209,..,..
1990,YR1990,Aruba,ABW,..,..,..,..,..,..,..,..,49.299594672792,3.96140172676478,764804469.273743,2.08965490393929,21942.2674858424,..,..,..,..,5.83668775158168,0,..,..,..,14444,23.2412949732896,..,10.6,73.468,..,..,..,..,..,..,..,..,..,345.288888888889,1.81682961471285,62152,..,6,5,..,..,..,..,..
1990,YR1990,Australia,AUS,..,..,0.889525541057273,15.4484884354618,..,..,..,..,59.7814776274714,3.5735068997854,311326664101.578,2.05192904909737,17367.1105802089,..,..,4.66854000091553,13.5917196273804,7.33302195235869,2.20511066825466,..,..,..,3955213,23.1341364316472,..,16.3541666666667,76.9946341463415,..,..,2.07590585971773,6.79190522886154,..,..,601367466.962332,0.761124572107601,2369583740,2.22135298022728,1.47997801595662,17065100,..,6,6,..,487000,32.1633639749956,6.92999982833862,13.0200004577637
1990,YR1990,Austria,AUT,3.21199344535235,..,0.389958144277864,7.58936421003276,..,..,..,..,65.7176910212227,4.34564139947821,166463386179.354,3.55354764697123,19461.9969383816,..,..,4.95725011825562,11.5131101608276,3.26187231878578,1.15225958103842,..,..,..,793239,10.2930213709833,..,..,75.5682926829269,..,7,1.19566026670559,2.54508548676712,..,..,319779052.7,0.381364545664119,634832336.4,93.0422927775085,0.762001611316115,7677850,..,4,8,..,76610,71.4883694717106,3.25,3.79999995231628
1990,YR1990,Azerbaijan,AZE,..,..,1.41877348923018,7.45345077489129,..,..,..,..,..,..,8858006035.91566,..,5253.44660826408,..,..,..,..,..,4.54246849059433,..,..,..,360600,4.99688006781124,..,..,64.827,..,8,..,..,..,..,..,..,..,..,0.67575057643047,7175200,..,3,7,..,75680,83.0832196452933,..,..
1990,YR1990,"Bahamas, The",BHS,-3.50955050334532,..,0.356234653453797,7.64946707411787,..,..,..,..,62.5264231260044,-1.59624908707566,3166000000,-3.3202455349446,21473.1132975248,..,..,..,..,4.66931912018676,17.5625519558829,..,..,..,26855,10.4764022501541,..,9,70.199,..,..,..,..,..,..,38700000,..,..,25.5971028971029,1.76749061997919,256227,..,6,6,..,2140,110.120025268478,7.76999998092651,16.6100006103516
1990,YR1990,Bahrain,BHR,..,..,0.806683734369868,21.6564131414503,..,..,..,..,78.4565164520158,4.43799717642639,4229787234.04255,1.31155617587342,26846.2251298112,..,..,..,..,0.929335437489092,..,..,..,..,173212,34.9257174197087,..,8.41148197596796,72.39,..,..,5.28479154433353,14.2857142857143,..,..,332180851.06383,..,..,718.734782608696,3.03930833773015,495927,..,6,6,..,15730,210.160965794769,..,..
1990,YR1990,Bangladesh,BGD,4.44095358946394,..,0.131429319721995,0.111658248374604,..,..,..,..,32.2492201402459,5.62225816160704,31598341233.463,3.08698200057471,849.568791885927,..,..,1.51911997795105,11.191029548645,6.12671846981463,..,..,..,..,881617,0.831846493011869,..,14.8457142857143,58.21,..,..,1.22316502629369,10.2820063762895,..,..,..,2.4648939475822,778865600.6,792.593969424599,2.42960098122108,103171957,..,5,7,..,94240,18.9665020125385,..,..
1990,YR1990,Barbados,BRB,..,..,0.392401654597,3.75575339263336,..,..,..,..,51.11745080628,-3.30759330759331,2012131457.26644,-3.66778162913569,9571.19662630002,..,..,..,..,3.07457271078019,13.0301648315851,..,..,..,24024,9.22672770706752,..,11.4166666666667,74.704,..,72,..,..,..,..,6250000,1.88357482276474,37900001.53,606.820930232558,0.37320496230845,260933,..,6,6,..,3110,86.5035829009143,8.15999984741211,30.6700000762939
1990,YR1990,Belarus,BLR,..,..,1.87470814013208,9.79748655164197,..,..,..,..,..,..,21650000000,..,5226.139654438,..,..,..,..,..,5.00436650679949,..,..,..,1248977,12.2065976849258,..,..,70.8365853658537,..,21,..,..,..,..,..,..,..,..,0.19006508287506,10189348,..,6,5,..,137860,89.6073903002309,..,..
1990,YR1990,Belgium,BEL,2.21479937777063,..,0.587148981386013,10.9667747158004,..,..,..,..,66.4424441972296,3.13740231557445,205331747947.851,2.83026797508926,18678.0102895051,..,..,..,..,3.44831217961809,1.03604322118714,..,..,..,891537,8.93481125581152,..,..,76.0519512195122,..,3,2.35544045891723,4.27959644497837,..,..,2309630859,1.74504806529481,3583137695,..,0.298235706313592,9967379,..,6,6,..,130770,121.467851074465,7.25,14.4700002670288
1990,YR1990,Belize,BLZ,11.585226914152,..,0.529002973348357,1.75949326593941,..,..,..,..,..,11.4433887290077,412086445.49,9.01729621069003,3326.05553198045,..,..,..,..,..,..,..,..,..,30404,16.2109708240915,..,14.0416666666667,71.242,..,45,1.17630735076468,..,..,..,7150000,4.4772161185893,18450000.76,8.22244629548444,2.20101870882843,187554,..,6,6,..,6540,100.24162872521,..,..
1990,YR1990,Benin,BEN,6.92567512082036,..,0.0526830628311955,0.0662851720672678,..,..,..,..,..,8.9761343599898,1959965243.76269,5.50734311913475,1258.18751805785,..,..,..,..,..,..,..,..,..,76212,1.52385263665976,..,..,53.812,..,..,1.22515712126057,9.2393439910657,..,..,20687581.5353086,5.15567424073337,101049423.2,44.1511972330614,3.23483539112138,4978489,..,6,7,..,4180,45.7201821451396,..,..
